id	x	y
139	-24.318707	15.441101
140	4.8664265	-2.6678355
141	-25.664417	10.2647295
142	-17.76538	17.485844
143	33.59989	-10.712622
144	18.384367	-10.63048
145	-14.151575	-1.3352168
146	7.40986	-6.449722
147	-10.635114	-1.3551476
148	-2.076769	0.8850705
149	30.557331	-20.37378
150	-16.769829	23.575726
151	-18.142763	18.410313
152	-4.4706783	-5.061668
153	-19.81441	5.779283
154	-12.983024	-6.69758
155	15.161981	-17.692022
156	-11.086844	16.883049
157	11.837405	-18.232286
158	-4.0391455	7.1652303
159	30.866358	-15.418086
160	21.22948	-9.946329
161	-5.417184	-8.79915
162	-12.595716	-9.991968
163	-12.106216	10.061079
164	-9.774397	11.735974
165	-16.636713	11.748515
166	-3.8309062	14.826629
167	-19.585508	19.396366
168	8.127683	-7.345143
169	-5.9074855	6.275929
170	-10.935276	-9.657236
171	17.240242	-23.445312
172	-14.223647	-9.182479
173	17.163713	-23.429459
174	-20.90132	4.9604464
175	-11.322537	7.7355814
176	-4.395658	9.928599
177	9.9374275	-3.74453
178	-22.731047	25.013973
179	22.29792	-10.809527
180	0.090553954	-1.6302034
181	-10.341206	3.0497694
182	22.501717	-15.89285
183	-13.647413	-10.6625
184	10.317068	-1.9726359
185	19.216848	-10.171866
186	-9.2824745	12.46486
187	8.065307	-15.343822
188	6.5850673	-5.0570717
189	-19.558586	15.304862
190	-5.6343565	15.662145
191	12.157747	-13.649565
192	-12.810656	-5.011795
193	33.313583	-13.432716
194	-17.375877	22.757385
195	-15.897657	18.016624
196	-5.71067	-1.7578218
197	29.218765	-17.738054
198	-9.737509	1.048363
199	-9.208241	-4.313979
200	28.223179	-15.88383
201	-14.8543825	13.596102
202	35.039585	-9.791349
203	-17.598831	2.5837865
204	1.2337412	-4.588236
205	-8.697562	-4.221301
206	-19.202034	24.660713
207	-18.462717	22.482378
208	-17.774696	24.442795
209	-21.387758	16.376137
210	12.466403	-19.638294
211	34.083435	-9.60727
212	-13.503722	20.773268
213	-5.84323	10.989921
214	-22.293798	25.232141
215	-23.776392	16.554197
216	-20.608011	25.691711
217	20.867357	-16.51643
218	-15.923307	16.576555
219	-0.4108983	-0.60582685
220	3.095079	-12.136836
221	28.800997	-22.417133
222	-5.8754773	-6.418819
223	15.077387	-20.569592
224	-14.075721	27.45768
225	-6.6900363	5.0351863
226	-18.289364	9.475881
227	19.458689	-13.145629
228	33.245674	-16.861586
229	29.192587	-8.1026535
230	-7.140329	11.153617
231	-9.614203	10.463113
232	-14.790806	-8.045305
233	34.14618	-15.352184
234	-9.006813	6.302005
235	-3.4274101	-5.262579
236	24.876541	-17.473207
237	3.854601	-10.629813
238	-11.947742	27.198807
239	33.079945	-16.033043
240	23.41482	-16.596443
241	-13.032118	26.99434
242	17.508995	-8.320642
243	-6.1687922	2.0910416
244	-10.240191	5.0632906
245	7.0389276	-1.2456583
246	-7.3913827	-8.12617
247	18.102028	-12.530775
248	13.471745	-2.8598638
249	0.59175485	14.169363
250	-8.709658	6.441609
251	12.084899	-18.90429
252	-13.063174	26.164204
253	-19.970518	20.256414
254	-11.611935	18.25665
255	19.040339	-8.114979
256	4.0248866	-13.304058
257	-17.05903	22.015646
258	-14.376759	17.520695
259	4.4079776	-5.4395504
260	25.397865	-14.551483
261	-21.116674	18.001804
262	1.3216608	2.37349
263	27.307327	-10.851516
264	-6.3148255	12.630297
265	-8.17639	20.631054
266	27.125841	-19.06628
267	9.982209	-16.933582
268	19.82003	-16.923552
269	-16.100954	-7.426157
270	33.22551	-18.866735
271	-12.211652	-6.966302
272	-5.1121006	-2.4505956
273	18.891638	-16.23357
274	9.925988	-8.118004
275	-10.85598	1.7816957
276	-14.27266	-6.068725
277	27.017147	-20.98108
278	-15.808201	-9.244819
279	36.668365	-14.324487
280	-15.085487	-8.371858
281	29.293571	-21.506842
282	19.635475	-11.438479
283	-20.629412	5.552777
284	32.19632	-13.200348
285	5.515035	-3.7472003
286	-11.8232765	15.746968
287	-19.749308	24.831587
288	-21.42764	21.081821
289	-19.811113	17.08949
290	-12.543344	18.674387
291	-20.514156	24.734371
292	5.3285937	-7.2646255
293	20.684586	-18.638962
294	-8.98896	-5.1253214
295	4.9378533	-1.3997643
296	-19.339325	27.386395
297	17.667686	-11.524866
298	29.613422	-19.857939
299	-5.078831	-9.289737
300	-19.608995	26.907244
301	18.78346	-14.468317
302	-3.5771055	15.877381
303	15.23618	-14.897109
304	-9.97337	13.380211
305	-24.228788	16.174515
306	-15.017122	15.498642
307	-18.09128	25.240671
308	-22.18914	7.266224
309	-11.019017	1.70914
310	23.535421	-13.1528225
311	-18.414598	18.105343
312	22.384712	-18.301508
313	19.86577	-19.324526
314	-16.834362	12.786325
315	26.205908	-19.184933
316	3.110789	-6.5740147
317	29.652218	-17.452837
318	-19.930357	8.976378
319	15.817106	-10.530844
320	24.28574	-12.993496
321	8.346705	-7.454655
322	32.139668	-12.724256
323	6.5417657	-7.4436774
324	-8.933836	17.348545
325	6.6926527	-8.312331
326	23.333431	-14.640744
327	-7.5984917	15.95063
328	11.999674	-15.340334
329	-6.0270495	7.2546163
330	-4.400594	13.928582
331	-1.3732018	-0.9513631
332	10.704713	-12.997541
333	11.8876705	-11.043511
334	6.234439	-9.483364
335	-11.302632	7.7973385
336	3.0016782	-6.4644885
337	11.717943	-17.40689
338	-19.718945	7.3104706
339	13.410707	-7.8800864
340	-11.077954	14.178096
341	-18.991245	20.856115
342	34.901146	-11.627039
343	16.070988	-9.087
344	-25.12862	9.200159
345	14.361726	-9.651779
346	-21.723835	5.9150715
347	-7.787359	7.09924
348	21.178833	-15.483987
349	-22.12514	5.455488
350	-17.466265	20.298937
351	26.317226	-10.946045
352	-4.8187566	9.066072
353	-22.11183	8.145659
354	21.66026	-15.617529
355	26.661434	-11.600975
356	15.420236	-9.212062
357	14.504691	-11.100747
358	3.111548	-3.6779191
359	-14.414088	19.409826
360	-13.174393	17.5172
361	-20.790941	6.074798
362	4.982664	-1.1995782
363	1.6315061	-10.030393
364	-11.462578	-5.5393023
365	4.032854	-4.3465905
366	33.070843	-11.73177
367	-13.027846	12.199562
368	-21.808502	8.663327
369	11.864917	-15.083432
370	-19.414364	7.314088
371	7.5232325	-9.356297
372	-19.864819	12.147026
373	16.914177	-14.904189
374	31.866825	-8.096026
375	21.300873	-13.250559
376	0.35972476	-7.626849
377	-0.336181	-2.4448783
